date;DJES
Q1 1987;35,98
Q2 1987;36,5381
Q3 1987;38,3398
Q4 1987;30,0634
Q1 1988;27,8964
Q2 1988;29,7238
Q3 1988;31,8297
Q4 1988;33,944
Q1 1989;35,8075
Q2 1989;37,9405
Q3 1989;41,8107
Q4 1989;42,204
Q1 1990;44,0558
Q2 1990;45,2739
Q3 1990;40,6783
Q4 1990;35,2957
Q1 1991;36,506
Q2 1991;40,2797
Q3 1991;39,2095
Q4 1991;37,9013
Q1 1992;40,0715
Q2 1992;40,8371
Q3 1992;36,6055
Q4 1992;36,3468
Q1 1993;39,9975
Q2 1993;41,6839
Q3 1993;46,0576
Q4 1993;49,1896
Q1 1994;52,1581
Q2 1994;51,2434
Q3 1994;49,6768
Q4 1994;47,9338
Q1 1995;47,024
Q2 1995;48,5176
Q3 1995;50,8675
Q4 1995;50,1997
Q1 1996;54,515
Q2 1996;57,2448
Q3 1996;56,2627
Q4 1996;60,3828
Q1 1997;69,2999
Q2 1997;75,0904
Q3 1997;84,9388
Q4 1997;83,1188
Q1 1998;95,7595
Q2 1998;113,971
Q3 1998;111,0711
Q4 1998;101,2372
Q1 1999;114,904
Q2 1999;119,8936
Q3 1999;121,8478
Q4 1999;133,3949
Q1 2000;161,7074
Q2 2000;162,2766
Q3 2000;162,1545
Q4 2000;152,0969
Q1 2001;140,2319
Q2 2001;135,8757
Q3 2001;117,5295
Q4 2001;112,584
Q1 2002;115,7475
Q2 2002;110,2445
Q3 2002;85,8873
Q4 2002;79,9903
Q1 2003;72,689
Q2 2003;76,9881
Q3 2003;83,5061
Q4 2003;87,742
Q1 2004;94,7692
Q2 2004;94,0308
Q3 2004;91,8909
Q4 2004;97,5184
Q1 2005;103,9645
Q2 2005;105,4663
Q3 2005;114,2066
Q4 2005;118,6429
Q1 2006;130,8521
Q2 2006;131,2716
Q3 2006;131,8663
Q4 2006;144,3665
Q1 2007;151,6647
Q2 2007;161,5252
Q3 2007;156,7863
Q4 2007;157,2696
Q1 2008;136,0175
Q2 2008;133,9202
Q3 2008;116,6422
Q4 2008;86,0562
Q1 2009;75,3749
Q2 2009;83,0616
Q3 2009;93,2242
Q4 2009;100,9679
Q1 2010;100,8255
Q2 2010;98,5034
Q3 2010;97,734
Q4 2010;102,9371
Q1 2011;107,5744
Q2 2011;105,9842
Q3 2011;89,1063
Q4 2011;83,7865
Q1 2012;91,8066
Q2 2012;84,5408
Q3 2012;90,0145
Q4 2012;95,0584
Q1 2013;100,9218
Q2 2013;102,2242
Q3 2013;106,3449
Q4 2013;114,907
Q1 2014;118,9445
Q2 2014;122,9138
Q3 2014;120,2097
Q4 2014;118,0182
Q1 2015;132,3152
Q2 2015;NA
