billions euros , V1 , V2 , V3 , V4 , V5 , V6 , V7 , V8 , V9 : V 10 , V11 , V12
Jan-70,163.4,NA ,8.0424,NA ,127.3,NA ,5.7063,NA ,318.9,NA ,6.2945,NA
Feb-70,161.1,-2.3,7.927,NA ,131.7,4.4,5.9031,NA ,318.8,-0.1,6.2918,NA
Mar-70,164.8,3.7,8.1094,NA ,130.8,-0.9,5.8608,NA ,321.9,3.1,6.3532,NA
Apr-70,164.9,0.1,8.1144,NA ,133.8,3,5.9963,NA ,323.8,1.9,6.3917,NA
May-70,166.6,1.8,8.201,NA ,134.3,0.5,6.0186,NA ,328.8,4.9,6.4893,NA
Jun-70,173,6.3,8.5118,NA ,135,0.7,6.0498,NA ,334.4,5.7,6.6011,NA
Jul-70,174.5,1.6,8.5881,NA ,137.2,2.2,6.1496,NA ,338.5,4.1,6.6817,NA
Aug-70,172.9,-1.6,8.5079,NA ,139.3,2.1,6.2457,NA ,338.1,-0.4,6.6742,NA
Sep-70,174.2,1.4,8.5754,NA ,140.1,0.8,6.2795,NA ,338.5,0.4,6.682,NA
Oct-70,172.5,-1.7,8.491,NA ,144.6,4.5,6.4826,NA ,338.6,0,6.6827,NA
Nov-70,178.7,6.2,8.7957,NA ,146,1.4,6.5438,NA ,345.8,7.2,6.8257,NA
Dec-70,182.4,3.7,8.9772,NA ,149.6,3.6,6.7059,NA ,353.3,7.4,6.9725,NA
Jan-71,178.5,-3.9,8.7843,9.2,155.9,6.3,6.9876,22.5,352.7,-0.6,6.9613,10.6
Feb-71,176.3,-2.2,8.6755,9.4,159.3,3.4,7.1399,21,354,1.3,6.9868,11.1
Mar-71,181.5,5.2,8.9318,10.1,161,1.7,7.2149,23.1,359.7,5.7,7.0996,11.8
Apr-71,183,1.6,9.0082,11,163.8,2.9,7.3431,22.5,364.6,4.9,7.196,12.6
May-71,187.1,4.1,9.2093,12.3,167.3,3.4,7.497,24.6,372.1,7.6,7.345,13.2
Jun-71,193.8,6.7,9.5372,12.1,165.2,-2.1,7.4046,22.4,376.5,4.4,7.4311,12.6
Jul-71,196.6,2.8,9.6757,12.7,169.5,4.3,7.5989,23.6,380.8,4.3,7.5158,12.5
Aug-71,194.6,-2,9.578,12.6,173.5,3.9,7.775,24.5,380.2,-0.6,7.5048,12.4
Sep-71,196.7,2,9.6785,12.9,174.1,0.6,7.803,24.3,383.1,2.9,7.5619,13.2
Oct-71,195.1,-1.6,9.602,13.1,178.2,4.1,7.9882,23.2,384.7,1.6,7.5938,13.6
Nov-71,200.1,5,9.8476,12,181.7,3.5,8.1458,24.5,392,7.3,7.7379,13.4
Dec-71,203.5,3.4,10.0138,11.6,185.7,4,8.3233,24.1,405.8,13.8,8.0102,14.9
Jan-72,198.8,-4.7,9.7842,11.4,190.4,4.7,8.5355,22.1,404,-1.8,7.9742,14.6
Feb-72,196.2,-2.6,9.6564,11.3,194.6,4.2,8.724,22.2,405.6,1.6,8.006,14.6
Mar-72,204.8,8.6,10.0783,12.8,193.3,-1.3,8.6642,20.1,411.8,6.2,8.1289,14.5
Apr-72,206.8,2,10.1777,13,199.3,6,8.934,21.7,416.8,5,8.2275,14.3
May-72,207.5,0.7,10.2102,10.9,202,2.7,9.0551,20.8,422.1,5.3,8.3316,13.4
Jun-72,219.6,12.1,10.8063,13.3,202.7,0.7,9.0875,22.7,434.1,12,8.5689,15.3
Jul-72,223.1,3.5,10.9803,13.5,206.4,3.6,9.2495,21.7,440.4,6.3,8.6923,15.6
Aug-72,220.1,-3,10.8305,13.1,213.1,6.7,9.5516,22.9,440.6,0.2,8.6959,15.9
Sep-72,224.2,4.1,11.0346,14,213,-0.1,9.548,22.4,444.8,4.3,8.7799,16.1
Oct-72,221,-3.2,10.8756,13.3,216.1,3.1,9.6855,21.3,445.7,0.9,8.7968,15.8
Nov-72,229.6,8.6,11.2983,14.7,219.5,3.5,9.8407,20.8,455.6,9.9,8.9931,16.2
Dec-72,232.7,3.1,11.4499,14.3,226.4,6.8,10.1462,21.9,472.3,16.6,9.3216,16.4
Jan-73,225.2,-7.5,11.0818,13.3,230.3,3.9,10.3222,20.9,466.4,-5.8,9.2062,15.4
Feb-73,221.7,-3.5,10.9106,13,233.9,3.6,10.485,20.2,468.1,1.7,9.2394,15.4
Mar-73,231.4,9.7,11.3875,13,233.9,0,10.4857,21,477.6,9.5,9.4275,16
Apr-73,232.8,1.4,11.4564,12.6,238.4,4.5,10.6854,19.6,482.2,4.6,9.5184,15.7
May-73,231.5,-1.3,11.3939,11.6,247.6,9.2,11.0976,22.6,489.3,7.1,9.6585,15.9
Jun-73,240.9,9.4,11.8559,9.7,245.7,-1.9,11.0136,21.2,497,7.6,9.8094,14.5
Jul-73,239.4,-1.5,11.78,7.3,252,6.3,11.2974,22.1,500.4,3.4,9.8765,13.6
Aug-73,233.4,-6,11.4851,6,262.4,10.4,11.7614,23.1,500.4,0,9.8769,13.6
Sep-73,237.1,3.8,11.6697,5.8,263.8,1.4,11.8258,23.9,504.2,3.8,9.9521,13.4
