"TIME","GEO","INDIC","S_ADJ","Value","Flag and Footnotes"
"2014M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.9",""
"2014M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.8",""
"2014M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.9",""
"2014M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.2",""
"2014M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.9",""
"2014M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.5",""
"2014M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.4",""
"2014M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.9",""
"2014M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.4",""
"2014M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","102.9",""
"2014M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.3",""
"2014M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","101.5",""
"2013M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","100.8",""
"2013M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","99.3",""
"2013M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","98.4",""
"2013M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","97.5",""
"2013M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.9",""
"2013M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","93.0",""
"2013M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","91.8",""
"2013M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","89.4",""
"2013M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","88.5",""
"2013M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","90.3",""
"2013M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","90.5",""
"2013M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","89.8",""
"2012M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","88.2",""
"2012M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","87.1",""
"2012M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","85.4",""
"2012M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","86.0",""
"2012M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","87.4",""
"2012M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","88.9",""
"2012M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","91.6",""
"2012M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","91.9",""
"2012M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","94.1",""
"2012M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.7",""
"2012M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.6",""
"2012M01","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","94.4",""
"2011M12","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","93.9",""
"2011M11","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","94.8",""
"2011M10","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.5",""
"2011M09","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","95.8",""
"2011M08","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","99.4",""
"2011M07","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","104.0",""
"2011M06","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","106.0",""
"2011M05","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","106.6",""
"2011M04","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","107.2",""
"2011M03","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","108.3",""
"2011M02","Euro area (19 countries)","Economic sentiment indicator","Seasonally adjusted data","109.1",""
