,PPIm,PPIq
2013Dec,108.12,
2013Nov,107.93,
2013Oct,107.97,108.01
2013Sep,108.46,
2013Aug,108.28,
2013Jul,108.32,108.35
2013Jun,108.14,
2013May,108.14,
2013Apr,108.48,108.25
2013Mar,109.12,
2013Feb,109.42,
2013Jan,109.27,109.27
2012Dec,108.93,
2012Nov,109.19,
2012Oct,109.37,109.16
2012Sep,109.41,
2012Aug,109.25,
2012Jul,108.35,109.00
2012Jun,107.98,
2012May,108.47,
2012Apr,108.76,108.40
2012Mar,108.58,
2012Feb,108.05,
2012Jan,107.45,108.03
2011Dec,106.55,
2011Nov,106.78,
2011Oct,106.56,106.63
2011Sep,106.43,
2011Aug,106.20,
2011Jul,106.28,106.30
2011Jun,105.71,
2011May,105.66,
2011Apr,105.73,105.70
2011Mar,104.83,
2011Feb,104.00,
2011Jan,103.29,104.04
2010Dec,102.09,
2010Nov,101.33,
2010Oct,100.97,101.46
2010Sep,100.81,
2010Aug,100.51,
2010Jul,100.44,100.59
2010Jun,100.18,
2010May,99.76,
2010Apr,99.33,99.76
2010Mar,98.56,
2010Feb,98.06,
2010Jan,97.97,98.20
2009Dec,97.17,
2009Nov,97.11,
2009Oct,96.98,97.09
2009Sep,96.74,
2009Aug,97.08,
2009Jul,96.60,96.81
2009Jun,97.34,
2009May,97.02,
2009Apr,97.04,97.13
2009Mar,97.93,
2009Feb,98.63,
2009Jan,99.10,98.55
2008Dec,100.18,
2008Nov,101.62,
2008Oct,103.71,101.84
2008Sep,104.57,
2008Aug,104.65,
2008Jul,105.16,104.79
2008Jun,103.76,
2008May,102.68,
2008Apr,101.53,102.66
2008Mar,100.76,
2008Feb,100.11,
2008Jan,99.50,100.12
2007Dec,98.72,
2007Nov,98.60,
2007Oct,97.69,98.34
2007Sep,97.08,
2007Aug,96.72,
2007Jul,96.59,96.80
2007Jun,96.30,
2007May,96.23,
2007Apr,95.78,96.10
2007Mar,95.42,
2007Feb,95.11,
2007Jan,94.83,95.12
2006Dec,94.52,
2006Nov,94.57,
2006Oct,94.66,94.58
2006Sep,94.73,
2006Aug,95.27,
2006Jul,95.16,95.05
2006Jun,94.48,
2006May,94.30,
2006Apr,94.02,94.27
2006Mar,93.33,
2006Feb,92.86,
2006Jan,92.39,92.86
2005Dec,91.08,
2005Nov,90.87,
2005Oct,91.13,91.03
2005Sep,90.60,
2005Aug,90.19,
2005Jul,89.83,90.21
2005Jun,89.36,
2005May,88.85,
2005Apr,88.94,89.05
2005Mar,88.55,
2005Feb,87.94,
2005Jan,87.74,88.08
2004Dec,87.14,
2004Nov,87.30,
2004Oct,87.50,87.31
2004Sep,86.81,
2004Aug,86.63,
2004Jul,86.25,86.56
2004Jun,85.82,
2004May,85.83,
2004Apr,85.30,85.65
2004Mar,84.85,
2004Feb,84.31,
2004Jan,84.18,84.45
2003Dec,84.05,
2003Nov,84.13,
2003Oct,84.03,84.07
2003Sep,84.02,
2003Aug,84.03,
2003Jul,83.84,83.96
2003Jun,83.80,
2003May,83.81,
2003Apr,84.13,83.91
2003Mar,84.63,
2003Feb,84.46,
2003Jan,83.99,84.36
2002Dec,83.23,
2002Nov,82.99,
2002Oct,83.28,83.17
2002Sep,83.10,
2002Aug,82.89,
2002Jul,82.80,82.93
2002Jun,82.72,
2002May,82.83,
2002Apr,82.81,82.79
2002Mar,82.64,
2002Feb,82.35,
2002Jan,82.34,82.44
2001Dec,82.02,
2001Nov,82.17,
2001Oct,82.52,82.24
2001Sep,83.09,
2001Aug,83.01,
2001Jul,83.12,83.07
2001Jun,83.45,
2001May,83.44,
2001Apr,83.29,83.39
2001Mar,83.09,
2001Feb,82.94,
2001Jan,82.74,82.92
2000Dec,82.44,
2000Nov,82.81,
2000Oct,82.64,82.63
2000Sep,82.22,
2000Aug,81.48,
2000Jul,81.27,81.66
2000Jun,80.83,
2000May,80.55,
2000Apr,80.07,80.48
2000Mar,79.88,
2000Feb,79.56,
2000Jan,79.28,79.57
1999Dec,78.80,
1999Nov,78.51,
1999Oct,78.24,78.52
1999Sep,77.99,
1999Aug,77.72,
1999Jul,77.53,77.75
1999Jun,77.13,
1999May,77.05,
1999Apr,77.01,77.06
1999Mar,76.65,
1999Feb,76.60,
1999Jan,76.64,76.63
1998Dec,76.89,
1998Nov,77.04,
1998Oct,77.27,77.07
1998Sep,77.54,
1998Aug,77.67,
1998Jul,77.83,77.68
1998Jun,77.97,
1998May,78.10,
1998Apr,78.18,78.08
1998Mar,78.16,
1998Feb,78.25,
1998Jan,78.29,78.23
1997Dec,78.31,
1997Nov,78.47,
1997Oct,78.45,78.41
1997Sep,78.43,
1997Aug,78.36,
1997Jul,78.13,78.31
1997Jun,78.00,
1997May,78.02,
1997Apr,77.89,77.97
1997Mar,77.71,
1997Feb,77.73,
1997Jan,77.73,77.72
1996Dec,77.50,
1996Nov,77.50,
1996Oct,77.50,77.50
1996Sep,77.31,
1996Aug,77.16,
1996Jul,77.12,77.20
1996Jun,77.15,
1996May,77.30,
1996Apr,77.34,77.26
1996Mar,77.28,
1996Feb,77.30,
1996Jan,77.24,77.27
1995Dec,77.51,
1995Nov,77.52,
1995Oct,77.58,77.54
1995Sep,77.66,
1995Aug,77.56,
1995Jul,77.44,77.55
1995Jun,77.40,
1995May,77.35,
1995Apr,77.11,77.29
1995Mar,76.83,
1995Feb,76.52,
1995Jan,76.13,76.49
1994Dec,75.31,
1994Nov,75.11,
1994Oct,74.71,75.04
1994Sep,74.44,
1994Aug,74.38,
1994Jul,74.16,74.33
1994Jun,74.07,
1994May,73.98,
1994Apr,73.81,73.95
1994Mar,73.70,
1994Feb,73.58,
1994Jan,73.41,73.56
1993Dec,72.99,
1993Nov,73.04,
1993Oct,72.98,73.00
1993Sep,72.96,
1993Aug,72.99,
1993Jul,72.97,72.97
1993Jun,72.86,
1993May,72.85,
1993Apr,72.82,72.84
1993Mar,72.61,
1993Feb,72.47,
1993Jan,72.42,72.50
1992Dec,72.08,
1992Nov,72.19,
1992Oct,72.12,72.13
1992Sep,72.12,
1992Aug,72.08,
1992Jul,72.17,72.12
1992Jun,72.22,
1992May,72.12,
1992Apr,72.00,72.11
1992Mar,71.78,
1992Feb,71.65,
1992Jan,71.45,71.63
1991Dec,71.24,
1991Nov,71.44,
1991Oct,71.40,71.36
1991Sep,71.36,
1991Aug,71.13,
1991Jul,71.15,71.21
1991Jun,70.84,
1991May,70.76,
1991Apr,70.73,70.78
1991Mar,70.40,
1991Feb,70.51,
1991Jan,70.57,70.49
1990Dec,69.91,
1990Nov,70.04,
1990Oct,70.19,70.05
1990Sep,69.84,
1990Aug,69.44,
1990Jul,68.94,69.41
1990Jun,68.98,
1990May,69.01,
1990Apr,68.94,68.98
1990Mar,68.72,
1990Feb,68.67,
1990Jan,68.61,68.67
1989Dec,68.35,
1989Nov,68.25,
1989Oct,68.30,68.30
1989Sep,67.97,
1989Aug,67.84,
1989Jul,67.67,67.83
1989Jun,67.55,
1989May,67.55,
1989Apr,67.42,67.51
1989Mar,67.07,
1989Feb,66.82,
1989Jan,66.56,66.82
1988Dec,65.92,
1988Nov,65.73,
1988Oct,65.50,65.72
1988Sep,65.38,
1988Aug,65.23,
1988Jul,65.03,65.21
1988Jun,64.90,
1988May,64.67,
1988Apr,64.56,64.71
1988Mar,64.30,
1988Feb,64.23,
1988Jan,64.12,64.22
1987Dec,64.11,
1987Nov,64.09,
1987Oct,64.09,64.10
1987Sep,63.92,
1987Aug,63.94,
1987Jul,63.80,63.89
1987Jun,63.61,
1987May,63.54,
1987Apr,63.45,63.53
1987Mar,63.41,
1987Feb,63.35,
1987Jan,63.50,63.42
1986Dec,63.36,
1986Nov,63.37,
1986Oct,63.56,63.43
1986Sep,64.14,
1986Aug,64.10,
1986Jul,64.19,64.14
1986Jun,64.63,
1986May,64.69,
1986Apr,64.96,64.76
1986Mar,65.33,
1986Feb,65.67,
1986Jan,66.06,65.69
1985Dec,66.08,
1985Nov,66.11,
1985Oct,66.15,66.11
1985Sep,66.20,
1985Aug,66.06,
1985Jul,66.12,66.13
1985Jun,66.11,
1985May,66.20,
1985Apr,66.11,66.14
1985Mar,65.84,
1985Feb,65.65,
1985Jan,65.26,65.58
1984Dec,64.46,
1984Nov,64.40,
1984Oct,64.28,64.38
1984Sep,63.89,
1984Aug,63.54,
1984Jul,63.45,63.63
1984Jun,63.29,
1984May,63.18,
1984Apr,63.02,63.16
1984Mar,62.61,
1984Feb,62.47,
1984Jan,62.18,62.42
1983Dec,61.39,
1983Nov,61.17,
1983Oct,60.91,61.16
1983Sep,60.66,
1983Aug,60.34,
1983Jul,60.00,60.33
1983Jun,59.78,
1983May,59.56,
1983Apr,59.36,59.57
1983Mar,59.16,
1983Feb,59.16,
1983Jan,59.06,59.13
1982Dec,58.58,
1982Nov,58.47,
1982Oct,58.36,58.47
1982Sep,58.04,
1982Aug,57.83,
1982Jul,57.67,57.85
1982Jun,57.38,
1982May,57.05,
1982Apr,56.78,57.07
1982Mar,56.45,
1982Feb,56.21,
1982Jan,56.03,56.23
1981Dec,54.98,
1981Nov,54.87,
1981Oct,54.62,54.82
1981Sep,54.18,
1981Aug,53.95,
1981Jul,53.62,53.92
1981Jun,52.95,
1981May,52.62,
1981Apr,52.25,52.61
1981Mar,51.50,
1981Feb,51.12,
1981Jan,50.61,51.08
