,Monetary aggregate M1 (millions euros),Monetary aggregate M2,Monetary aggregate M3
1980Jan,444852,1080273,1107100
1980Feb,440074,1080016,1107384
1980Mar,447850,1090055,1119526
1980Apr,448946,1092061,1121677
1980May,452286,1097620,1127563
1980Jun,467166,1112044,1142412
1980Jul,466043,1117561,1148139
1980Aug,459264,1117515,1147865
1980Sep,466001,1124085,1155084
1980Oct,464732,1128916,1159637
1980Nov,481987,1154240,1186620
1980Dec,492650,1198035,1230451
1981Jan,476508,1185788,1219922
1981Feb,475181,1191439,1226929
1981Mar,476580,1195068,1235037
1981Apr,477209,1201981,1242420
1981May,486156,1216320,1258407
1981Jun,494939,1224320,1268356
1981Jul,486452,1224131,1269429
1981Aug,482938,1222519,1268614
1981Sep,491639,1235503,1282692
1981Oct,488624,1239115,1286505
1981Nov,503127,1256082,1304605
1981Dec,519135,1308299,1356895
1982Jan,508185,1304501,1355428
1982Feb,505693,1308889,1360752
1982Mar,506140,1313237,1366808
1982Apr,508383,1321306,1371844
1982May,519016,1333498,1384283
1982Jun,532429,1348117,1404812
1982Jul,528072,1354396,1411299
1982Aug,526324,1358537,1415708
1982Sep,534767,1370312,1428063
1982Oct,537823,1378429,1436243
1982Nov,552998,1391951,1450665
1982Dec,570578,1449908,1511643
1983Jan,560452,1442306,1505476
1983Feb,558656,1444592,1507165
1983Mar,556214,1441222,1504016
1983Apr,562411,1450437,1513358
1983May,572976,1460615,1524104
1983Jun,588355,1474462,1538656
1983Jul,591184,1487081,1552104
1983Aug,579688,1482811,1547855
1983Sep,583100,1487292,1553088
1983Oct,589869,1500376,1567503
1983Nov,602042,1516045,1584090
1983Dec,628682,1579251,1647621
1984Jan,609078,1560794,1633989
1984Feb,602326,1556309,1630341
1984Mar,600316,1555115,1630393
1984Apr,609467,1567986,1643651
1984May,613569,1576865,1653436
1984Jun,626388,1590888,1667878
1984Jul,627787,1601634,1680205
1984Aug,614507,1596946,1676482
1984Sep,632731,1623248,1703224
1984Oct,630577,1623302,1702022
1984Nov,640198,1634801,1713265
1984Dec,682436,1710855,1788789
1985Jan,657737,1693243,1775445
1985Feb,652197,1696299,1781459
1985Mar,655551,1700498,1789683
1985Apr,657232,1706597,1795251
1985May,654406,1703110,1793439
1985Jun,678598,1726676,1817711
1985Jul,677765,1729206,1821939
1985Aug,663190,1720281,1813648
1985Sep,681100,1737336,1830823
1985Oct,680403,1738990,1832386
1985Nov,693520,1750081,1844716
1985Dec,732832,1833589,1927935
1986Jan,699536,1805907,1903914
1986Feb,695994,1800065,1899678
1986Mar,717050,1815499,1917335
1986Apr,716241,1810348,1913747
1986May,722640,1814401,1919654
1986Jun,742099,1836445,1941360
1986Jul,742626,1844954,1948061
1986Aug,734051,1845874,1949333
1986Sep,746076,1861344,1964933
1986Oct,742741,1868051,1973445
1986Nov,766131,1893614,1999949
1986Dec,795950,1955310,2058939
1987Jan,768629,1935951,2042741
1987Feb,758895,1928710,2040476
1987Mar,767224,1934631,2049117
1987Apr,776638,1945622,2063878
1987May,784987,1958133,2081895
1987Jun,808457,1978993,2099060
1987Jul,800794,1979141,2102927
1987Aug,793595,1977508,2109087
1987Sep,805278,1989848,2125065
1987Oct,804785,1998287,2136405
1987Nov,825835,2019573,2162754
1987Dec,853378,2080922,2221564
1988Jan,831513,2062080,2209190
1988Feb,820249,2051778,2204634
1988Mar,817826,2048098,2203441
1988Apr,832665,2067842,2228918
1988May,843234,2081419,2246777
1988Jun,864269,2102394,2264736
1988Jul,874320,2121632,2285437
1988Aug,854208,2112574,2282197
1988Sep,857462,2119614,2294247
1988Oct,871681,2140644,2319681
1988Nov,887646,2159819,2341909
1988Dec,925626,2232947,2410010
1989Jan,894278,2206076,2393130
1989Feb,883968,2200475,2397747
1989Mar,885660,2206061,2410377
1989Apr,897086,2223905,2433580
1989May,900635,2231284,2446497
1989Jun,924717,2259786,2477739
1989Jul,936970,2281877,2504354
1989Aug,915657,2269840,2497201
1989Sep,926767,2286376,2515811
1989Oct,932879,2294257,2529928
1989Nov,951904,2316284,2557686
1989Dec,1015225,2419118,2659927
1990Jan,969243,2379739,2637961
1990Feb,953417,2370043,2640018
1990Mar,946591,2359966,2637361
1990Apr,962098,2376184,2657070
1990May,962908,2375964,2663708
1990Jun,1016664,2496900,2788776
1990Jul,1021035,2504399,2802055
1990Aug,995520,2490324,2792895
1990Sep,1025650,2528301,2833827
1990Oct,1016487,2525949,2841866
1990Nov,1030820,2542044,2865228
1990Dec,1128463,2658683,2979949
1991Jan,1057010,2600176,2937733
1991Feb,1049224,2599248,2948421
1991Mar,1047676,2600460,2958242
1991Apr,1057868,2612112,2969617
1991May,1053702,2613692,2975117
1991Jun,1091279,2651888,3015354
1991Jul,1083554,2645258,3021277
1991Aug,1060831,2637304,3022624
1991Sep,1079023,2657215,3046743
1991Oct,1066870,2656288,3056240
1991Nov,1093925,2689380,3093703
1991Dec,1171457,2808376,3204633
1992Jan,1088484,2735280,3150259
1992Feb,1076117,2729984,3157064
1992Mar,1087449,2742354,3175420
1992Apr,1099079,2761474,3207099
1992May,1109693,2774682,3234778
1992Jun,1125542,2789467,3254263
1992Jul,1108523,2781924,3262036
1992Aug,1097785,2778097,3261386
1992Sep,1120234,2814038,3305736
1992Oct,1116222,2812531,3309880
1992Nov,1153619,2847433,3348624
1992Dec,1215275,2939888,3433178
1993Jan,1143768,2882795,3397738
1993Feb,1129592,2879792,3404686
1993Mar,1137567,2902894,3444200
1993Apr,1140828,2913546,3450204
1993May,1154289,2933359,3472703
1993Jun,1180858,2955816,3484325
1993Jul,1167402,2953701,3480083
1993Aug,1155460,2948714,3476439
1993Sep,1175545,2966997,3488618
1993Oct,1185486,2987300,3514086
1993Nov,1220876,3020874,3546318
1993Dec,1287860,3150266,3651774
1994Jan,1236946,3105703,3616734
1994Feb,1228742,3102600,3612780
1994Mar,1241312,3126996,3629400
1994Apr,1247055,3133737,3637715
1994May,1246405,3129450,3634783
1994Jun,1278042,3154660,3651632
1994Jul,1264712,3149190,3651126
1994Aug,1243577,3126004,3627118
1994Sep,1257383,3135704,3624824
1994Oct,1263586,3139823,3639444
1994Nov,1277371,3148097,3659473
1994Dec,1343081,3243755,3735799
1995Jan,1271973,3176293,3695976
1995Feb,1266049,3172637,3706630
1995Mar,1262191,3176207,3702886
1995Apr,1277541,3187017,3719385
1995May,1280740,3192383,3734600
1995Jun,1303727,3218329,3759170
1995Jul,1297229,3212065,3751150
1995Aug,1276007,3203359,3754951
1995Sep,1303692,3233082,3776711
1995Oct,1297247,3235715,3785241
1995Nov,1324930,3263208,3823433
1995Dec,1423101,3397475,3937403
1996Jan,1339876,3337995,3906893
1996Feb,1328193,3332905,3916561
1996Mar,1341316,3344138,3931433
1996Apr,1356635,3359123,3940690
1996May,1355700,3362529,3946536
1996Jun,1395422,3397323,3966021
1996Jul,1377764,3386524,3953451
1996Aug,1364121,3382843,3956604
1996Sep,1398051,3406184,3973985
1996Oct,1394966,3403007,3970778
1996Nov,1433207,3438163,3998359
1996Dec,1528487,3562479,4090345
1997Jan,1445663,3499192,4052403
1997Feb,1440528,3493103,4059918
1997Mar,1455677,3500177,4070899
1997Apr,1455824,3498558,4076852
1997May,1476228,3516345,4112046
1997Jun,1524569,3549216,4139717
1997Jul,1513630,3542370,4137802
1997Aug,1497684,3531781,4122478
1997Sep,1522876,3543278,4131073
1997Oct,1525532,3555327,4142069
1997Nov,1560332,3587644,4184181
1997Dec,1626864,3687146,4265545
1998Jan,1567225,3658509,4255362
1998Feb,1569376,3660611,4264270
1998Mar,1599617,3666889,4275050
1998Apr,1615279,3698172,4310239
1998May,1638215,3727306,4337152
1998Jun,1686330,3758294,4357028
1998Jul,1648020,3725595,4350013
1998Aug,1635112,3718421,4340339
1998Sep,1657140,3725841,4335145
1998Oct,1660077,3740075,4366998
1998Nov,1709659,3789869,4396454
1998Dec,1785398,3920142,4471128
1999Jan,1805976,3953260,4463577
1999Feb,1775685,3911195,4447594
1999Mar,1796445,3929382,4459586
1999Apr,1811021,3950654,4496031
1999May,1843509,3979502,4529333
1999Jun,1886693,4005344,4555934
1999Jul,1885415,4021979,4563119
1999Aug,1850990,3991118,4540771
1999Sep,1876545,4000412,4561347
1999Oct,1882966,4019772,4578653
1999Nov,1918079,4049147,4625175
1999Dec,1972045,4142298,4708947
2000Jan,1982585,4137751,4723291
2000Feb,1973795,4133651,4738473
2000Mar,1986051,4143894,4768884
2000Apr,2027142,4186038,4826279
2000May,2009080,4177617,4820008
2000Jun,2024238,4186421,4805383
2000Jul,2022811,4184938,4802374
2000Aug,1989355,4176869,4798357
2000Sep,2002243,4182500,4794882
2000Oct,2002079,4187284,4804690
2000Nov,2020878,4210799,4832421
2000Dec,2084600,4299630,4910328
2001Jan,2083703,4348576,5026837
2001Feb,2084013,4355581,5047544
2001Mar,2096001,4385080,5090546
2001Apr,2129763,4422968,5135593
2001May,2150338,4445379,5174256
2001Jun,2191444,4492195,5216143
2001Jul,2167979,4479923,5209922
2001Aug,2128380,4461073,5211887
2001Sep,2187299,4508739,5263161
2001Oct,2175722,4512933,5289730
2001Nov,2210574,4565041,5343832
2001Dec,2278976,4684363,5446737
2002Jan,2239338,4655663,5430255
2002Feb,2228301,4644451,5431228
2002Mar,2238652,4670235,5468342
2002Apr,2278113,4706318,5506616
2002May,2290532,4728195,5549587
2002Jun,2349754,4768158,5569629
2002Jul,2328109,4758307,5562731
2002Aug,2301453,4750263,5576687
2002Sep,2364441,4792133,5622655
2002Oct,2355081,4811015,5643922
2002Nov,2414586,4875496,5714501
2002Dec,2499429,4981449,5807825
2003Jan,2440875,4923614,5805923
2003Feb,2451197,4951523,5845442
2003Mar,2497509,5006352,5889676
2003Apr,2527118,5052347,5977504
2003May,2561474,5109432,6021151
2003Jun,2605444,5130101,6020728
2003Jul,2584795,5124234,6028347
2003Aug,2573150,5125966,6027513
