date;LHO;LFI
1997Sep;2290038;2083969
1997Oct;2305790;2098248
1997Nov;2315489;2110149
1997Dec;2337206;2131256
1998Jan;2341719;2141771
1998Feb;2350350;2150240
1998Mar;2363026;2163245
1998Apr;2384936;2171021
1998May;2397513;2174373
1998Jun;2419344;2203199
1998Jul;2435329;2221466
1998Aug;2443777;2212966
1998Sep;2465214;2226742
1998Oct;2483863;2243529
1998Nov;2501106;2266816
1998Dec;2528559;2291528
1999Jan;2546400;2277304
1999Feb;2549798;2265558
1999Mar;2568396;2275148
1999Apr;2582337;2286025
1999May;2605183;2295510
1999Jun;2637567;2341945
1999Jul;2661298;2358155
1999Aug;2671699;2344997
1999Sep;2697035;2357177
1999Oct;2717450;2381647
1999Nov;2738648;2413860
1999Dec;2760806;2432889
2000Jan;2772202;2460514
2000Feb;2783711;2475917
2000Mar;2809336;2506715
2000Apr;2826681;2542421
2000May;2840517;2544973
2000Jun;2862438;2564066
2000Jul;2872295;2586045
2000Aug;2880876;2598304
2000Sep;2925449;2635890
2000Oct;2946664;2651545
2000Nov;2956309;2678120
2000Dec;2977610;2687456
2001Jan;3002220;2741480
2001Feb;3006088;2752689
2001Mar;3023970;2795799
2001Apr;3043976;2811979
2001May;3057938;2817449
2001Jun;3074151;2851798
2001Jul;3085449;2851590
2001Aug;3090100;2832417
2001Sep;3108211;2866584
2001Oct;3127929;2869732
2001Nov;3140685;2894953
2001Dec;3146163;2903196
2002Jan;3156149;2907138
2002Feb;3160777;2907358
2002Mar;3174733;2932512
2002Apr;3200240;2943918
2002May;3215169;2945023
2002Jun;3237240;2952542
2002Jul;3249212;2948814
2002Aug;3262899;2935270
2002Sep;3282845;2948752
2002Oct;3296089;2957988
2002Nov;3310020;2961098
2002Dec;3327066;2965435
2003Jan;3328858;2973746
2003Feb;3344969;2979720
2003Mar;3358433;2980749
2003Apr;3371763;2989877
2003May;3387974;2986510
2003Jun;3410955;3006706
2003Jul;3434903;3004225
2003Aug;3446874;3010845
2003Sep;3463826;3007915
2003Oct;3482382;3011341
2003Nov;3497380;3026533
2003Dec;3520572;3036586
2004Jan;3525878;3042214
2004Feb;3539546;3041675
2004Mar;3564681;3055363
2004Apr;3589506;3076351
2004May;3610616;3085211
2004Jun;3663130;3093093
2004Jul;3690896;3102039
2004Aug;3707194;3095182
2004Sep;3735725;3104058
2004Oct;3758072;3122022
2004Nov;3781526;3140010
2004Dec;3808411;3152245
2005Jan;3823117;3169582
2005Feb;3838146;3173060
2005Mar;3860431;3189366
2005Apr;3887801;3215310
2005May;3919476;3234313
2005Jun;4001021;3283311
2005Jul;4034608;3309711
2005Aug;4057992;3296052
2005Sep;4089193;3322634
2005Oct;4130076;3344347
2005Nov;4160587;3375301
2005Dec;4187321;3404842
2006Jan;4212966;3439678
2006Feb;4232383;3479069
2006Mar;4271309;3520169
2006Apr;4300719;3562919
2006May;4333856;3590824
2006Jun;4377098;3635421
2006Jul;4407752;3680512
2006Aug;4420694;3673974
2006Sep;4452012;3726397
2006Oct;4471755;3763628
2006Nov;4503654;3801863
2006Dec;4529076;3839537
2007Jan;4547713;3894570
2007Feb;4569467;3914935
2007Mar;4603351;3951572
2007Apr;4618457;3990479
2007May;4646705;4040039
2007Jun;4681442;4100318
2007Jul;4705871;4163708
2007Aug;4720284;4181432
2007Sep;4742256;4226210
2007Oct;4761435;4267546
2007Nov;4787641;4319916
2007Dec;4801050;4389026
2008Jan;4828019;4461208
2008Feb;4845998;4498600
2008Mar;4855386;4548607
2008Apr;4863323;4592527
2008May;4877004;4620188
2008Jun;4880869;4671969
2008Jul;4896539;4710388
2008Aug;4905475;4723388
2008Sep;4931080;4762656
2008Oct;4930757;4817394
2008Nov;4918740;4843781
2008Dec;4893046;4826989
2009Jan;4897475;4877118
2009Feb;4891826;4864967
2009Mar;4883319;4843932
2009Apr;4878947;4846359
2009May;4882349;4828255
2009Jun;4903694;4804951
2009Jul;4906986;4787320
2009Aug;4905424;4755469
2009Sep;4920839;4741388
2009Oct;4926055;4722030
2009Nov;4943705;4720760
2009Dec;4960320;4691299
2010Jan;4959373;4685966
2010Feb;4964411;4689033
2010Mar;4977940;4679720
2010Apr;4985223;4666454
2010May;5000988;4687423
2010Jun;5091842;4697866
2010Jul;5094590;4680807
2010Aug;5105621;4670732
2010Sep;5113465;4687455
2010Oct;5128618;4673314
2010Nov;5148500;4695073
2010Dec;5167764;4668458
2011Jan;5182296;4698939
2011Feb;5185218;4704260
2011Mar;5217599;4705525
2011Apr;5225526;4702011
2011May;5242833;4719348
2011Jun;5266111;4739196
2011Jul;5262165;4742488
2011Aug;5263956;4723028
2011Sep;5274805;4755287
2011Oct;5233048;4751635
2011Nov;5242807;4757578
2011Dec;5242758;4719992
2012Jan;5236252;4722040
2012Feb;5227598;4710574
2012Mar;5231044;4699292
2012Apr;5233429;4704316
2012May;5239123;4705155
2012Jun;5256191;4700476
2012Jul;5245782;4706174
2012Aug;5242705;4671145
2012Sep;5245059;4652406
2012Oct;5244414;4638505
2012Nov;5252658;4636905
2012Dec;5251463;4535894
2013Jan;5241945;4523368
2013Feb;5238121;4505403
2013Mar;5239859;4503066
2013Apr;5238155;4478485
2013May;5232788;4460796
2013Jun;5243036;4446549
2013Jul;5233096;4429370
2013Aug;5229013;4399532
2013Sep;5237024;4393501
2013Oct;5232998;4377105
2013Nov;5234976;4371124
2013Dec;5229721;4345031
